# RA           DEC         
  204.243542   -9.328278   
  204.737042   -9.742528   
  204.789833   -9.784694   
  202.943375   29.304972   
  45.150958    -11.433333  
  342.37875    -19.260028  
  21.141375    33.784583   
  352.242625   3.549556    
  304.608042   -44.822222  
  198.468833   -16.356917  
  63.106125    -28.525917  
  129.952208   51.172667   
  197.383583   57.531389   
  70.318       -27.121944  
  188.02275    20.130194   
  57.902125    -40.443111  
  13.692458    25.444194   
  257.810125   59.034222   
  45.401125    35.22525    
  53.396       -5.067      
  157.330625   29.519528   
  186.319542   4.952889    
  356.0635     9.950306    
  346.207458   12.337222   
  183.084625   29.150861   
  178.99475    6.722639    
  162.549833   -14.10525   
  181.667625   28.145      
  197.866708   31.893917   
  176.553708   20.363      
  86.318208    -25.864389  
  241.311667   32.847444   
  198.2        -23.387667  
  190.23625    -1.961083   
  248.317083   57.025722   
  14.42375     -27.487528  
  248.338042   57.044889   
  207.189375   -3.918611   
  335.055917   -28.070306  
  112.08575    67.787972   
  180.739833   -20.96325   
  333.63225    -17.04175   
  225.303583   1.674417    
  208.303042   69.332194   
  208.303375   69.332722   
  208.300833   69.332361   
  331.44025    -50.104722  
  150.677833   -8.174139   
  149.490542   65.602722   
  326.495792   4.403611    
  80.528292    -36.404861  
  7.611917     26.321      
  191.01       16.867722   
  150.761542   32.936167   
  134.028917   37.975417   
  181.557333   -8.834472   
  197.869875   -5.829444   
  352.184667   14.903889   
  94.262667    -47.795139  
  36.318667    -29.492889  
  189.18475    -33.874194  
